"groupA","interactPositionA","interactionA","groupB","interactPositionB","interactionB","strength","opacity","timepoint"
4,22,"SEMA4D_PLXNB1",6,22,"SEMA4D_PLXNB1",0.218,0.143326758711374,2
4,22,"SEMA4D_PLXNB1",7,22,"SEMA4D_PLXNB1",0.281,0.184746877054569,2
4,22,"SEMA4D_PLXNB1",9,22,"SEMA4D_PLXNB1",0.205,0.134779750164366,2
4,22,"SEMA4D_PLXNB1",12,22,"SEMA4D_PLXNB1",0.227,0.149243918474688,2
4,22,"SEMA4D_PLXNB1",14,22,"SEMA4D_PLXNB1",0.247,0.162393162393162,2
4,13,"GRN_TNFRSF1B",3,13,"GRN_TNFRSF1B",0.38,0.249835634451019,2
4,13,"GRN_TNFRSF1B",15,13,"GRN_TNFRSF1B",0.566,0.372123602892834,2
4,13,"GRN_TNFRSF1B",17,13,"GRN_TNFRSF1B",0.603,0.396449704142012,2
4,14,"a6b1 complex_LAMC1",5,14,"a6b1 complex_LAMC1",0.233,0.15318869165023,2
4,14,"a6b1 complex_LAMC1",16,14,"a6b1 complex_LAMC1",0.259,0.170282708744247,2
4,15,"SPP1_CD44",3,15,"SPP1_CD44",1.296,0.85207100591716,2
4,15,"SPP1_CD44",6,15,"SPP1_CD44",1.055,0.69362261669954,2
4,15,"SPP1_CD44",11,15,"SPP1_CD44",1.148,0.754766600920447,2
4,15,"SPP1_CD44",14,15,"SPP1_CD44",1.095,0.719921104536489,2
4,15,"SPP1_CD44",15,15,"SPP1_CD44",1.446,0.95069033530572,2
4,15,"SPP1_CD44",16,15,"SPP1_CD44",1.145,0.752794214332676,2
4,15,"SPP1_CD44",17,15,"SPP1_CD44",1.521,1,2
4,23,"HBEGF_CD44",3,23,"HBEGF_CD44",0.425,0.279421433267587,2
4,23,"HBEGF_CD44",11,23,"HBEGF_CD44",0.277,0.182117028270874,2
4,23,"HBEGF_CD44",15,23,"HBEGF_CD44",0.574,0.377383300460224,2
4,23,"HBEGF_CD44",16,23,"HBEGF_CD44",0.274,0.180144641683103,2
4,23,"HBEGF_CD44",17,23,"HBEGF_CD44",0.649,0.426692965154504,2
4,16,"aVb6 complex_TGFB1",3,16,"aVb6 complex_TGFB1",0.404,0.265614727153189,2
